,pessoa_id,pessoa_idade,salario_ano,propriedade_sit,ano_trabalhado,motivo_emprestimo,pontuacao_emprestimos,vl_total,tx_juros,inadimplencia,tx_renda_divida,hst_inadimplencia,hst_primeiro_credito
1565,zh6USewc-0Xoy,29.0,25000.0,3,3.0,4,2,5000.0,10.95,0.0,0.2,0.0,10
1567,f5QAgeYv-J6Oz,22.0,48000.0,3,2.0,4,2,4650.0,10.99,0.0,0.1,0.0,4
1568,uJYG2cX2-SEbq,24.0,62900.0,3,8.0,4,4,12000.0,15.62,1.0,0.16,1.0,2
1569,DSB7vANc-3kQq,38.0,91200.0,1,0.0,3,3,9000.0,12.68,0.0,0.1,0.0,11
1570,TCRaX1Ko-HK8I,22.0,31200.0,3,6.0,3,2,12000.0,10.39,1.0,0.38,0.0,2
1572,u3hxWCfF-F8kg,25.0,85000.0,1,5.0,3,3,9600.0,13.85,0.0,0.11,0.0,2
1573,rbDay1En-33xd,33.0,67000.0,3,8.0,6,3,18000.0,13.11,1.0,0.27,1.0,7
1576,P6ldzCkQ-L3Ow,24.0,62467.0,3,0.0,6,1,10625.0,8.49,0.0,0.17,0.0,2
1577,Tee6wLWx-q1gv,41.0,113000.0,3,1.0,2,4,12000.0,16.0,1.0,0.11,0.0,15
1578,tJR30Sto-g00u,31.0,56400.0,3,1.0,5,2,7500.0,11.48,0.0,0.13,0.0,10
1579,ovM4nKhd-Bl7M,26.0,58000.0,1,1.0,4,4,25000.0,13.55,1.0,0.43,1.0,4
1580,ltPhCWBo-woj0,28.0,58704.0,3,5.0,1,3,23500.0,14.72,1.0,0.4,0.0,7
1581,bQXKszpm-HP0m,31.0,100000.0,3,6.0,6,2,20000.0,12.42,0.0,0.2,0.0,9
1582,aDvKa8Md-lTEq,22.0,39000.0,3,1.0,3,1,6000.0,8.0,0.0,0.15,0.0,3
1583,ipQnxDDq-1JPD,22.0,58000.0,1,1.0,5,1,4000.0,7.29,0.0,0.07,0.0,3
1585,ngdyvE74-38w0,24.0,42000.0,1,4.0,5,2,1200.0,11.49,0.0,0.03,0.0,3
1586,CU1jAhkl-iA5R,23.0,27972.0,3,6.0,5,1,5000.0,8.94,0.0,0.18,0.0,3
1587,CYXrBbce-AeLt,30.0,165000.0,3,3.0,5,3,15000.0,13.92,0.0,0.09,1.0,9
1588,8U9COSS3-9mHB,22.0,50433.0,3,6.0,5,2,5000.0,10.71,0.0,0.1,0.0,4
1589,C6hy8hvX-ediq,24.0,57000.0,1,8.0,4,6,20000.0,19.13,1.0,0.35,1.0,3
1590,ZNGqHwSL-3pHh,25.0,60000.0,1,2.0,2,2,10000.0,12.21,0.0,0.17,0.0,3
1592,XCtxYz4w-2DAB,33.0,36000.0,2,0.0,2,1,10000.0,7.74,0.0,0.28,0.0,7
1593,OQwc9xY5-PfSj,25.0,74000.0,2,1.0,5,1,16000.0,8.49,0.0,0.22,0.0,3
1594,eKM0OfDQ-0X7i,23.0,54000.0,1,5.0,4,3,5200.0,13.99,1.0,0.1,0.0,3
1596,k9NBb3uP-v3aY,22.0,60000.0,3,2.0,4,2,5125.0,11.86,0.0,0.09,0.0,3
1597,EaQHnI8I-zFZ9,24.0,78000.0,1,0.0,6,1,5000.0,6.62,0.0,0.06,0.0,4
1598,ME6tCGo5-eeeE,24.0,30000.0,1,8.0,1,2,17000.0,11.99,1.0,0.57,0.0,3
1599,GiehO3sX-pGHl,22.0,47000.0,3,6.0,1,1,12000.0,6.03,0.0,0.26,0.0,3
1600,Rav56uBz-yyNv,27.0,37595.0,3,6.0,1,1,9600.0,7.14,0.0,0.26,0.0,8
1601,vbawDU1v-W72o,24.0,57996.0,1,5.0,6,2,2400.0,11.89,0.0,0.04,0.0,4
1602,kI0Skd4w-U6Mx,33.0,42804.0,3,17.0,3,3,4000.0,12.73,1.0,0.09,1.0,7
1603,tPIEn81N-ufzp,25.0,48000.0,1,3.0,1,1,4000.0,7.14,0.0,0.08,0.0,3
1604,ab5UIHMz-87DP,29.0,46344.0,3,0.0,3,2,3500.0,11.36,0.0,0.08,0.0,5
1605,rOy4BLXX-ufw5,28.0,143000.0,1,5.0,6,4,8275.0,16.49,1.0,0.06,1.0,7
1606,YsoG8XYE-lxoy,23.0,30000.0,1,6.0,5,2,5000.0,10.38,0.0,0.17,0.0,4
1607,lf77pcUH-ug0E,26.0,92000.0,3,10.0,2,2,14200.0,10.99,0.0,0.15,0.0,3
1608,UzAn1ktZ-Ovcp,23.0,24290.0,3,0.0,4,1,3400.0,7.51,0.0,0.14,0.0,4
1609,X6Ab9Mhp-JnWq,29.0,24996.0,2,2.0,5,2,8000.0,9.99,0.0,0.32,0.0,7
1611,Wp7yTBbG-RKYp,37.0,408000.0,3,14.0,3,3,6000.0,12.61,0.0,0.01,0.0,13
1612,N1hiCLRp-t2io,39.0,27040.0,1,0.0,6,1,4800.0,8.59,0.0,0.18,0.0,17
1613,kTMzhQam-oTlR,25.0,52000.0,1,9.0,6,1,24500.0,6.17,0.0,0.47,0.0,3
1614,xrcdMXL6-XAUH,22.0,63000.0,1,2.0,4,1,12000.0,7.66,0.0,0.19,0.0,3
1615,M4ZBcN42-6BKj,23.0,29520.0,3,7.0,3,4,8500.0,15.37,0.0,0.29,1.0,2
1616,ozvPylUf-XLbX,43.0,112000.0,1,14.0,2,4,25000.0,14.96,0.0,0.22,1.0,15
1617,RzdmtZYM-LtTI,32.0,75250.0,3,1.0,1,3,4000.0,12.99,0.0,0.05,0.0,7
1618,lXPHHARp-JQPQ,23.0,48500.0,3,5.0,4,1,3850.0,8.49,0.0,0.08,0.0,2
1619,HFul8NQR-mYYE,36.0,166000.0,3,4.0,4,1,10000.0,7.88,0.0,0.06,0.0,17
1620,GTIjbsui-8WSk,24.0,60000.0,3,4.0,3,2,12000.0,9.99,0.0,0.2,0.0,4
1622,TZvL35P8-zlhH,22.0,40000.0,3,0.0,5,1,6000.0,7.66,0.0,0.15,0.0,2
1623,IHbMuo9h-5OKZ,26.0,42000.0,3,2.0,5,3,5000.0,11.91,0.0,0.12,1.0,4
1624,P74Ka9J1-s6gl,27.0,45000.0,1,4.0,4,1,5000.0,6.03,0.0,0.11,0.0,9
1626,P33FmB0j-bCdL,27.0,49500.0,3,6.0,2,3,6000.0,11.22,0.0,0.12,0.0,8
1627,jg5N5BzZ-c23y,26.0,40000.0,2,0.0,4,2,15000.0,9.64,0.0,0.38,0.0,4
1628,xSxLyvnF-bsbd,41.0,90000.0,3,0.0,5,3,5000.0,14.26,0.0,0.06,1.0,13
1629,oan5Y2xg-2ypk,25.0,40000.0,2,0.0,3,2,8000.0,10.38,0.0,0.2,0.0,4
1631,dL7QAlvm-STjs,28.0,95000.0,2,4.0,6,2,25000.0,9.62,0.0,0.26,0.0,8
1632,6FZODXFx-s6ni,28.0,215662.0,1,12.0,6,2,21000.0,11.99,0.0,0.1,0.0,6
1633,FNqtI3Um-KhcY,22.0,30000.0,2,6.0,5,1,6000.0,7.49,0.0,0.2,0.0,3
1635,gzSRfapR-SwJn,27.0,51267.0,1,8.0,3,1,4000.0,7.68,0.0,0.08,0.0,10
1636,tjdBUQ4M-ljxO,22.0,31200.0,3,0.0,4,3,10600.0,12.99,1.0,0.34,0.0,2
1637,8J7mGrWq-9u3O,25.0,105897.0,1,9.0,4,2,25000.0,11.36,0.0,0.24,0.0,3
1638,J8T5tiUm-02D6,65.0,93000.0,1,27.0,2,2,25000.0,9.99,0.0,0.27,0.0,27
1639,xAPhPvjb-0FQF,30.0,95000.0,1,0.0,2,4,6000.0,15.99,0.0,0.06,1.0,7
1640,kSh4F30A-eAnD,29.0,85000.0,3,3.0,3,1,7000.0,6.92,0.0,0.08,0.0,8
1641,DSmpftky-pgbI,25.0,84000.0,1,9.0,2,4,3500.0,14.84,1.0,0.04,0.0,2
1642,6P673ECE-h2WQ,23.0,25000.0,3,0.0,4,2,5800.0,9.91,0.0,0.23,0.0,4
1643,com9Me4n-Z6AF,23.0,93000.0,3,0.0,1,4,25000.0,14.59,1.0,0.27,1.0,2
1644,Mjowo5bx-8ZPN,29.0,55000.0,1,13.0,4,3,8000.0,13.72,0.0,0.15,0.0,9
1645,WLjJgfUP-7AuK,38.0,44000.0,2,2.0,5,2,7000.0,9.76,0.0,0.16,0.0,12
1646,K5Sya4Qo-X0eE,27.0,27720.0,3,1.0,3,2,7000.0,10.95,0.0,0.25,0.0,6
1647,ER966g7P-4x3I,27.0,113004.0,1,11.0,5,1,15000.0,8.94,0.0,0.13,0.0,8
1648,x8bL53M0-CweS,23.0,59000.0,3,8.0,5,2,17000.0,10.25,0.0,0.29,0.0,4
1650,M9kkYaBa-gZQP,26.0,29000.0,3,2.0,4,1,1000.0,7.74,0.0,0.03,0.0,4
1651,ODrruEQn-xMq3,25.0,57000.0,2,9.0,4,2,12000.0,10.59,0.0,0.21,0.0,3
1652,tJQoo5hR-nqmF,32.0,54000.0,3,2.0,4,1,5000.0,7.9,0.0,0.09,0.0,7
1653,qoQcrG2J-SeJW,25.0,130000.0,3,7.0,6,1,10000.0,7.49,0.0,0.08,0.0,2
1654,yRCiTdbr-0XwC,28.0,40000.0,3,0.0,4,3,5600.0,13.49,0.0,0.14,0.0,8
1655,cEJOkiWG-imjU,35.0,218000.0,3,4.0,1,4,7000.0,14.11,1.0,0.03,1.0,9
1656,NGlR49by-fbA2,25.0,80000.0,1,9.0,6,2,12000.0,10.0,0.0,0.15,0.0,4
1657,aU7Lr9DX-t5IX,30.0,138000.0,1,3.0,3,5,23975.0,17.93,1.0,0.17,0.0,7
1658,Gw01AUbH-vWdW,25.0,50000.0,1,3.0,1,1,17000.0,6.03,0.0,0.34,0.0,2
1659,IXbf2HTw-8xyI,26.0,51996.0,1,2.0,4,5,6500.0,15.68,1.0,0.13,0.0,4
1660,TPsIWZfR-Bpp3,21.0,41004.0,1,5.0,5,2,24250.0,10.75,0.0,0.59,0.0,2
1661,rvL3ElMh-k0bF,22.0,42000.0,3,2.0,4,4,12000.0,15.65,1.0,0.29,1.0,3
1663,CJ8531db-dSMF,28.0,53040.0,3,6.0,1,1,1700.0,8.49,0.0,0.03,0.0,8
1664,iUqtZMqf-qF5n,24.0,45996.0,3,3.0,4,3,2000.0,12.98,0.0,0.04,1.0,2
1665,GLj8QjP0-qfda,25.0,36000.0,3,0.0,4,2,12000.0,9.91,1.0,0.33,0.0,3
1666,I5MEo0IQ-g0Il,24.0,44475.0,2,1.0,5,2,5000.0,10.65,0.0,0.11,0.0,3
1667,vRvHb1B2-veQR,22.0,63000.0,3,2.0,1,1,5000.0,7.74,0.0,0.08,0.0,3
1668,fBkHjpnM-1pas,24.0,32000.0,1,7.0,5,1,4500.0,6.76,0.0,0.14,0.0,2
1671,tJnwncfe-rEwQ,29.0,60000.0,1,2.0,4,1,1500.0,6.03,0.0,0.03,0.0,5
1672,29LlEL2d-ibDt,49.0,50000.0,1,4.0,1,1,10000.0,9.07,0.0,0.2,0.0,15
1673,uW2YAY5C-inWU,32.0,227500.0,3,3.0,6,3,25000.0,12.53,0.0,0.11,0.0,10
1674,aKf43n2A-SApK,22.0,60000.0,3,5.0,2,1,9000.0,5.99,0.0,0.15,0.0,4
1675,XiSytWO3-KxAh,30.0,28500.0,1,9.0,3,1,4000.0,7.74,0.0,0.14,0.0,7
1676,In2alZtz-o5QR,23.0,28000.0,3,4.0,3,2,7000.0,10.62,0.0,0.25,0.0,2
1677,KhQOjDft-lQgX,29.0,42108.0,2,0.0,3,1,2500.0,8.0,0.0,0.06,0.0,5
1678,1cMyyEsT-UbaE,45.0,50400.0,3,2.0,6,3,12000.0,12.87,0.0,0.24,1.0,13
1680,2OjPj0Cv-Ohe3,23.0,38000.0,3,0.0,4,1,7500.0,7.88,0.0,0.2,0.0,4
1681,aNQXfvOs-cvXp,22.0,30000.0,3,0.0,1,1,2800.0,6.54,0.0,0.09,0.0,3
1682,dKLAb1Wf-S5cO,34.0,35000.0,3,2.0,5,2,7200.0,12.42,0.0,0.21,0.0,9
1683,8icdEgde-q17K,25.0,50000.0,1,2.0,2,1,10000.0,7.9,0.0,0.2,0.0,4
1685,aHc5ZaZN-NuHo,24.0,20000.0,2,2.0,6,1,3000.0,8.94,0.0,0.15,0.0,2
1686,TQeP8Ymk-gyIg,21.0,35000.0,1,2.0,5,1,800.0,7.37,0.0,0.02,0.0,3
1687,bjiq9y1x-HJTX,54.0,97800.0,1,11.0,2,3,10000.0,13.23,0.0,0.1,1.0,20
1688,ThLNditv-ICSq,25.0,48000.0,3,2.0,2,3,8000.0,13.11,0.0,0.17,0.0,4
1689,SwJ5BkaZ-DjBK,23.0,42000.0,3,0.0,5,2,4000.0,10.59,0.0,0.1,0.0,2
1691,KZF8ylng-J8k6,45.0,90000.0,1,3.0,5,2,2500.0,11.99,0.0,0.03,0.0,13
1693,ehR3L00w-bukP,37.0,65000.0,3,4.0,2,4,12000.0,16.49,0.0,0.18,0.0,17
1694,TiL0HXZI-jJrS,31.0,62000.0,3,2.0,2,2,12800.0,9.62,0.0,0.21,0.0,7
1695,OdFkNR7m-GjtZ,23.0,55000.0,1,7.0,5,1,5200.0,8.9,0.0,0.09,0.0,4
1696,DUx0GIep-TRfE,23.0,14650.0,3,0.0,1,4,1400.0,15.62,1.0,0.1,1.0,3
1697,uLxOOPAn-MfOK,32.0,24600.0,1,6.0,4,1,4800.0,8.9,1.0,0.2,0.0,7
1699,09Rxvcfg-ydmc,24.0,40000.0,1,5.0,6,1,15000.0,7.49,0.0,0.38,0.0,2
1700,YHIYZ5rU-yM92,24.0,85000.0,3,8.0,2,2,10000.0,10.37,0.0,0.12,0.0,4
1701,WvzOfewI-ZHrG,25.0,90000.0,1,9.0,5,1,7750.0,7.51,0.0,0.09,0.0,3
1702,721QWC7B-bsAL,23.0,16000.0,2,7.0,2,1,2000.0,6.39,0.0,0.13,0.0,3
1703,6R3CPEMH-RBrA,25.0,154000.0,1,2.0,6,3,9200.0,12.61,0.0,0.06,1.0,4
1704,dBRLfS3s-AN28,24.0,65000.0,3,5.0,6,1,9000.0,6.03,0.0,0.14,0.0,4
1705,fmQnKl2a-OWHj,35.0,80000.0,3,0.0,1,2,7050.0,8.88,0.0,0.09,0.0,5
1706,sjP5dyc7-rgKW,22.0,44000.0,3,1.0,5,5,16000.0,16.35,1.0,0.36,0.0,4
1707,sgUGpFkN-fRf6,31.0,25000.0,2,4.0,6,2,3075.0,11.83,0.0,0.12,0.0,5
1708,nkOcB6q5-Qkj2,34.0,12996.0,3,0.0,4,2,1500.0,9.25,0.0,0.12,0.0,7
1710,ulmT9L53-AyLi,28.0,61200.0,3,12.0,4,2,8000.0,10.38,1.0,0.11,0.0,8
1711,86RLWz5m-SuJR,26.0,58125.0,1,10.0,5,2,6000.0,10.25,0.0,0.1,0.0,2
1713,Ha974Ti7-HzLI,36.0,35000.0,1,4.0,6,4,7500.0,16.29,0.0,0.21,0.0,16
1714,YdiGpOlf-LrDv,25.0,98400.0,3,4.0,2,4,16525.0,15.28,0.0,0.17,1.0,3
1717,pZPveh1s-M4Ge,25.0,62000.0,1,6.0,1,1,6000.0,7.88,0.0,0.1,0.0,4
1718,5URNXNXR-020M,24.0,28000.0,4,0.0,3,2,9000.0,10.83,1.0,0.32,0.0,3
1719,Ttcfup5f-WZyd,31.0,75000.0,3,5.0,6,1,11100.0,6.03,0.0,0.15,0.0,5
1720,cIqKOSTI-DsD7,34.0,60353.0,3,13.0,2,2,8500.0,10.65,0.0,0.14,0.0,8
1721,ZSsGcuDu-3U6W,22.0,38000.0,3,6.0,2,1,15000.0,7.88,1.0,0.39,0.0,3
1722,JAABs4A5-uT1A,32.0,20000.0,3,3.0,5,2,4750.0,10.37,0.0,0.24,0.0,7
1723,cZnucDuE-9gEl,29.0,56000.0,3,7.0,1,2,3500.0,10.37,0.0,0.06,0.0,7
1725,DcNjnmW9-RNUr,27.0,132000.0,3,2.0,6,2,15000.0,11.12,0.0,0.11,0.0,5
1726,5NuDM1MJ-1e2K,22.0,36000.0,3,0.0,2,2,15850.0,11.48,1.0,0.44,0.0,3
1727,tE8072q0-sAos,37.0,40000.0,1,2.0,4,2,16000.0,10.99,0.0,0.4,0.0,15
1728,pUTb3xDF-njAU,29.0,280000.0,1,6.0,4,3,15000.0,12.99,0.0,0.05,1.0,6
1729,NzEXt93S-pnBd,28.0,288000.0,1,12.0,5,7,18000.0,22.48,1.0,0.06,1.0,9
1730,dlPmEuhE-r5Ae,31.0,58000.0,1,0.0,3,1,3625.0,6.17,0.0,0.06,0.0,5
1731,NhzpUd56-Q0a3,22.0,52000.0,1,5.0,5,1,6000.0,7.9,0.0,0.12,0.0,2
1732,ftFH2etj-jtrM,24.0,26000.0,3,1.0,4,2,12250.0,11.49,1.0,0.47,0.0,2
1733,Z9djppxz-PUM6,25.0,135000.0,1,9.0,2,4,25000.0,16.07,0.0,0.19,1.0,4
1734,PjLDCoDu-t7Cp,24.0,50000.0,3,3.0,4,2,8000.0,12.42,0.0,0.16,0.0,2
1735,mIyyn8ML-YmsS,30.0,39500.0,3,3.0,3,1,6925.0,7.88,0.0,0.18,0.0,9
1736,dMsW5uxn-h3EK,27.0,56000.0,3,1.0,1,3,2500.0,11.72,1.0,0.04,0.0,5
1737,TisYGu9A-jDvt,26.0,54011.0,3,10.0,3,4,9500.0,16.29,0.0,0.18,0.0,2
1738,YykgvA8Y-vLzl,24.0,37200.0,3,8.0,1,1,7200.0,7.9,0.0,0.19,0.0,4
1739,8361QhX7-tIvu,22.0,54000.0,3,4.0,3,5,5000.0,16.35,1.0,0.09,0.0,4
1740,ZJ335toY-gq4p,24.0,25000.0,3,0.0,3,1,4400.0,6.76,0.0,0.18,0.0,2
1743,rZHvdoJv-lJ8W,29.0,58000.0,1,13.0,6,1,14000.0,7.51,0.0,0.24,0.0,7
1744,hHDYzDbv-k8lH,25.0,65000.0,3,4.0,2,3,15000.0,13.49,0.0,0.23,0.0,2
1745,xmcPLtGR-kxeC,35.0,72000.0,1,2.0,1,1,10750.0,7.51,0.0,0.15,0.0,9
1747,Xqk1BIaq-k4jc,22.0,190000.0,3,3.0,3,1,12600.0,6.92,0.0,0.07,0.0,4
1748,Pcc4o1vz-ijif,22.0,82000.0,1,6.0,3,2,10750.0,9.25,0.0,0.13,0.0,2
1749,auhJoJpN-UJOv,32.0,75000.0,3,2.0,2,3,7000.0,12.61,0.0,0.09,0.0,6
1750,hqNKGwdo-eixr,23.0,42000.0,3,7.0,5,2,15000.0,11.83,1.0,0.36,0.0,4
1751,IYNHoHxw-hsss,28.0,40000.0,3,1.0,4,2,6500.0,10.74,0.0,0.16,0.0,6
1752,BwpEL07H-Fqv8,31.0,85000.0,3,5.0,3,3,16000.0,11.34,0.0,0.19,1.0,8
1753,F8LKX10j-aHq7,23.0,20400.0,3,3.0,1,1,4000.0,8.94,0.0,0.2,0.0,4
1754,8sYqRvMU-2n8l,25.0,130000.0,3,3.0,6,1,2000.0,6.99,0.0,0.02,0.0,4
1755,xT8yUyqx-HXfj,25.0,44000.0,3,0.0,4,1,9000.0,8.94,0.0,0.2,0.0,3
1756,AwFArQhM-cUMw,24.0,145000.0,1,3.0,4,2,12000.0,10.99,0.0,0.08,0.0,2
1757,NbQ4cDHr-g4hp,22.0,53000.0,3,0.0,3,1,5000.0,7.9,0.0,0.09,0.0,4
1758,nXGnFqDz-CA3I,22.0,26796.0,1,6.0,5,1,3000.0,8.32,0.0,0.11,0.0,3
1759,7oYvtp02-pj44,28.0,42016.0,3,3.0,4,2,5000.0,10.36,0.0,0.12,0.0,5
1760,QSHCKb3K-vSBa,24.0,96000.0,1,8.0,6,1,11000.0,5.99,0.0,0.11,0.0,2
1761,qOcqMw7e-cSEm,24.0,60000.0,3,8.0,2,4,20000.0,13.87,1.0,0.33,0.0,4
1762,ZvPcEClq-cTxH,31.0,87000.0,2,7.0,6,3,15000.0,13.11,0.0,0.17,1.0,8
1765,ntqCUnDM-YZSx,30.0,61000.0,1,2.0,1,1,4000.0,7.9,0.0,0.07,0.0,7
1766,IlUjcHmU-4cef,25.0,33000.0,1,9.0,4,2,3000.0,11.99,0.0,0.09,0.0,2
1767,vNYYXDrL-WHCt,23.0,38000.0,3,0.0,3,1,7500.0,7.88,0.0,0.2,0.0,3
1768,LB2QgH31-Wsod,49.0,103000.0,1,14.0,1,1,12600.0,9.32,0.0,0.12,0.0,11
1769,qc2c19Hg-iiQd,25.0,96000.0,1,5.0,1,1,35000.0,7.49,0.0,0.36,0.0,3
1771,iXmaDWfX-EvzZ,22.0,47800.0,1,3.0,4,2,15000.0,11.86,0.0,0.31,0.0,4
1772,RMiAtBUA-L6M9,24.0,330000.0,1,5.0,2,2,3500.0,10.36,0.0,0.01,0.0,4
1774,H54Q0zdy-1YMz,69.0,24000.0,3,3.0,4,1,6000.0,6.62,0.0,0.25,0.0,20
1775,v4ZSs1bw-7hoC,22.0,100000.0,3,3.0,5,2,10000.0,10.65,0.0,0.1,0.0,2
1776,GacvHnp2-vfl6,24.0,109000.0,3,3.0,3,2,15000.0,10.65,0.0,0.14,0.0,3
1777,J5YOEU3A-hn52,25.0,19200.0,3,4.0,3,4,6250.0,15.31,1.0,0.33,1.0,2
1778,1yNQnzNC-vnYS,33.0,49548.0,3,6.0,1,3,2800.0,12.84,0.0,0.06,1.0,5
1779,6ElLbCzk-DLPp,24.0,28000.0,3,8.0,4,2,1000.0,12.53,0.0,0.04,0.0,4
1780,l2kzcFCR-zama,31.0,45000.0,3,3.0,1,2,8000.0,10.99,0.0,0.18,0.0,10
1781,Oe80g4PL-YZPX,33.0,96000.0,1,4.0,1,2,3000.0,11.49,0.0,0.03,0.0,7
1782,hg6oSh47-FFvu,23.0,93000.0,3,6.0,3,3,10000.0,14.26,0.0,0.11,0.0,2
1783,4XoQbaZ7-ihF4,37.0,600000.0,2,11.0,6,2,16000.0,10.25,0.0,0.03,0.0,14
1784,EpLBfZmB-pPUu,33.0,143004.0,1,17.0,6,1,10000.0,6.99,0.0,0.07,0.0,7
1785,J73z7TAS-TDxS,26.0,168000.0,3,1.0,5,2,20000.0,11.36,0.0,0.12,0.0,4
1786,tkWzH4sR-ETfM,23.0,42996.0,3,7.0,5,3,2000.0,13.61,0.0,0.05,1.0,2
1787,xdHo6qgp-lfSl,26.0,80000.0,1,10.0,3,4,15000.0,16.07,0.0,0.19,0.0,2
1788,DKpGknvN-Tbtu,34.0,92000.0,1,1.0,2,1,9000.0,9.63,0.0,0.1,0.0,8
1789,z1YrnE4q-CS31,22.0,50000.0,3,6.0,3,3,10000.0,13.57,0.0,0.2,1.0,3
1790,xNEs70O3-8wkj,44.0,80000.0,1,28.0,5,4,25000.0,15.33,0.0,0.31,1.0,17
1791,LxffwIiK-avzc,26.0,65004.0,1,7.0,6,2,20000.0,10.36,0.0,0.31,0.0,3
1792,6bu2o8qq-gRmk,24.0,40500.0,1,8.0,1,2,8500.0,10.99,1.0,0.21,0.0,3
1793,9KGDHaJ8-UWXf,23.0,51000.0,1,2.0,1,1,2400.0,7.49,0.0,0.05,0.0,3
1794,HngciYXY-O6kn,32.0,47500.0,3,2.0,4,2,5300.0,11.49,0.0,0.11,0.0,8
1795,jB9f1JMY-kZS0,24.0,100000.0,2,4.0,4,1,6000.0,8.9,0.0,0.06,0.0,2
1796,wHKOejDU-3TAg,22.0,34500.0,3,2.0,4,4,5000.0,16.89,1.0,0.14,0.0,3
1797,EEHaSHBd-MAG9,28.0,15000.0,3,0.0,4,2,1800.0,11.49,0.0,0.12,0.0,7
1798,zFcW66s2-JSOY,34.0,24000.0,3,0.0,3,2,9000.0,11.14,1.0,0.38,0.0,8
1799,hj9YICTx-m1GT,23.0,24091.0,1,5.0,2,3,3500.0,12.99,0.0,0.15,1.0,2
1800,U7Zf1HP9-YQjg,26.0,18700.0,3,2.0,4,1,1500.0,5.42,0.0,0.08,0.0,3
1801,l661yugf-SvFX,25.0,60000.0,2,5.0,5,3,1200.0,13.85,0.0,0.02,0.0,2
1802,aXe7PbQf-61zb,34.0,195000.0,1,14.0,5,3,6000.0,14.27,0.0,0.03,0.0,8
1803,idBdqhCl-9513,25.0,100000.0,1,9.0,3,3,7500.0,13.99,0.0,0.07,0.0,4
1805,76TDSWLb-AUyI,27.0,60000.0,3,8.0,4,1,7000.0,6.99,0.0,0.12,0.0,8
1807,bXKuQktF-eUHd,36.0,84000.0,3,0.0,3,2,20000.0,9.64,1.0,0.24,0.0,16
1808,x8G4lUs6-itSN,22.0,35000.0,1,7.0,5,1,4000.0,7.29,0.0,0.11,0.0,2
1809,tu7vEprg-jdx7,23.0,33000.0,3,4.0,3,3,10000.0,14.65,0.0,0.3,0.0,3
1810,zdNz17j4-XwX4,29.0,34999.0,1,8.0,1,4,6250.0,15.95,1.0,0.18,1.0,9
1812,GlW0kMTC-Ra8A,21.0,22000.0,2,2.0,1,4,4000.0,15.05,0.0,0.18,0.0,4
1813,OzJ9C7gF-HIJN,23.0,36000.0,3,3.0,3,2,1000.0,10.99,0.0,0.03,0.0,2
1814,ftwXcc9C-E7dO,24.0,75000.0,2,2.0,2,2,8500.0,11.36,0.0,0.11,0.0,4
1815,oAZB7eNl-eAPs,23.0,37000.0,3,1.0,3,1,10400.0,7.66,0.0,0.28,0.0,4
1816,us38wQTA-DLWK,30.0,42000.0,3,1.0,1,1,4000.0,7.88,0.0,0.1,0.0,6
1817,PP7uZ5Hw-4f7x,23.0,65000.0,1,0.0,1,2,18000.0,9.99,0.0,0.28,0.0,4
1818,q1bh1c3G-nBmk,27.0,49500.0,1,7.0,5,3,4750.0,15.27,1.0,0.1,0.0,7
1819,TvwB4FQU-Alwd,27.0,49304.0,1,2.0,4,3,10000.0,11.78,0.0,0.2,0.0,9
1820,LFiWHcnW-hU3U,28.0,140000.0,3,9.0,6,1,12000.0,7.88,0.0,0.09,0.0,7
1823,J9j1fLL0-iYzS,23.0,40000.0,1,6.0,2,2,7200.0,11.11,0.0,0.18,0.0,2
1824,GZL2XXkM-49YT,29.0,53000.0,3,0.0,6,1,5000.0,5.42,0.0,0.09,0.0,6
1826,aMQBx6mc-h1X3,24.0,61400.0,3,1.0,1,3,12250.0,12.23,0.0,0.2,1.0,2
1827,loXLDRec-Jj14,24.0,32000.0,3,1.0,3,3,1500.0,13.92,0.0,0.05,1.0,4
1828,K7GA34zK-2PsP,26.0,55000.0,1,4.0,2,1,10000.0,7.51,1.0,0.18,0.0,2
1829,TnneRoqn-Ks6f,27.0,53250.0,3,1.0,4,2,7000.0,10.37,0.0,0.13,0.0,6
1830,Kv0lA2p7-1ZIf,21.0,53000.0,2,5.0,4,1,3000.0,7.51,0.0,0.06,0.0,4
1831,IzYz2tKg-EyxD,39.0,50000.0,1,1.0,3,1,8000.0,7.68,0.0,0.16,0.0,14
1832,G2uL8JkZ-EKti,31.0,54000.0,3,2.0,1,3,5500.0,13.23,0.0,0.1,0.0,9
1833,dWlTHp9N-461J,27.0,24000.0,3,1.0,4,3,2150.0,14.72,0.0,0.09,0.0,7
1835,S3Zx5XaJ-p0Nv,23.0,62000.0,1,3.0,5,1,4000.0,8.9,0.0,0.06,0.0,2
1836,thR6rwA4-X5As,23.0,36000.0,3,7.0,2,1,6000.0,7.51,0.0,0.17,0.0,3
1837,o9Syzkuq-2GuH,27.0,110000.0,1,11.0,6,1,3600.0,6.03,0.0,0.03,0.0,5
1838,DBQSkar1-EeIb,21.0,36184.0,2,2.0,2,2,12000.0,9.99,0.0,0.33,0.0,4
1839,uL1Ia15N-mEr7,22.0,67775.0,1,3.0,3,3,9600.0,14.79,0.0,0.14,1.0,4
1840,YDbo1oxh-IDFM,23.0,86004.0,3,0.0,2,4,5000.0,14.84,1.0,0.06,0.0,2
