pessoa_idade;salario_ano;propriedade_sit;ano_trabalhado;motivo_emprestimo;pontuacao_emprestimos;vl_total;tx_juros;inadimplencia;hst_inadimplencia;hst_primeiro_credito;faixa_idade;faixa_emprestimo
30.0;65000.0;Alugada;3.0;Pessoal;C;10000.0;12.73;0.0;1.0;6;3;19
29.0;91560.0;Hipotecada;8.0;Pessoal;A;22000.0;6.91;0.0;0.0;5;3;43
26.0;40000.0;Alugada;3.0;Pessoal;B;13250.0;11.71;1.0;0.0;2;3;26
22.0;23000.0;Alugada;6.0;Médico;B;10000.0;9.88;1.0;0.0;2;2;19
23.0;80000.0;Hipotecada;3.0;Empreendimento;A;5500.0;5.42;0.0;0.0;2;2;10
24.0;46800.0;Hipotecada;6.0;Pagamento de débitos;A;12000.0;6.99;0.0;0.0;2;2;23
31.0;70550.0;Alugada;2.0;Médico;D;16000.0;17.49;1.0;0.0;8;4;31
27.0;45000.0;Hipotecada;8.0;Pagamento de débitos;A;16750.0;8.94;0.0;0.0;7;3;33
35.0;30000.0;Alugada;4.0;Médico;C;14125.0;12.99;1.0;1.0;10;4;28
29.0;110000.0;Hipotecada;1.0;Educativo;E;12800.0;16.82;0.0;0.0;6;3;25
34.0;42000.0;Hipotecada;18.0;Melhora do lar;A;2000.0;5.79;0.0;0.0;8;4;3
22.0;60000.0;Hipotecada;6.0;Educativo;B;3950.0;10.65;0.0;0.0;2;2;7
23.0;65000.0;Alugada;2.0;Pagamento de débitos;B;14000.0;9.99;0.0;0.0;2;2;27
29.0;338000.0;Alugada;3.0;Melhora do lar;F;24000.0;17.8;1.0;0.0;8;3;47
23.0;61041.0;Alugada;7.0;Pessoal;B;9000.0;11.36;0.0;0.0;2;2;17
27.0;146000.0;Hipotecada;5.0;Empreendimento;A;2500.0;8.49;0.0;0.0;9;3;4
25.0;38400.0;Hipotecada;5.0;Médico;A;5700.0;6.17;0.0;0.0;2;2;11
24.0;96000.0;Hipotecada;1.0;Melhora do lar;B;4800.0;11.99;0.0;0.0;3;2;9
33.0;44000.0;Alugada;3.0;Médico;B;2725.0;12.18;1.0;0.0;6;4;5
22.0;54996.0;Alugada;6.0;Empreendimento;A;12000.0;8.32;0.0;0.0;4;2;23
32.0;83300.0;Alugada;0.0;Médico;D;19600.0;17.19;1.0;1.0;7;4;39
21.0;35000.0;Alugada;0.0;Pessoal;F;8000.0;19.79;1.0;1.0;4;2;15
24.0;55000.0;Hipotecada;8.0;Empreendimento;A;5500.0;8.59;0.0;0.0;3;2;10
22.0;24000.0;Hipotecada;4.0;Empreendimento;A;1300.0;5.42;0.0;0.0;3;2;2
21.0;160000.0;Hipotecada;3.0;Empreendimento;D;15250.0;15.31;0.0;1.0;4;2;30
31.0;80000.0;Alugada;3.0;Empreendimento;A;10000.0;7.66;0.0;0.0;7;4;19
26.0;61000.0;Hipotecada;10.0;Pessoal;A;4200.0;7.29;0.0;0.0;4;3;8
24.0;39996.0;Própria;0.0;Pessoal;A;3000.0;7.37;0.0;0.0;2;2;5
27.0;54000.0;Alugada;3.0;Educativo;B;4000.0;10.74;0.0;0.0;5;3;7
21.0;98132.0;Hipotecada;5.0;Médico;B;15000.0;11.36;0.0;0.0;4;2;29
29.0;104000.0;Hipotecada;6.0;Melhora do lar;A;18000.0;7.66;0.0;0.0;7;3;35
26.0;102000.0;Hipotecada;3.0;Educativo;B;20000.0;11.36;0.0;0.0;4;3;39
25.0;5000.0;Alugada;0.0;Empreendimento;B;1000.0;9.64;1.0;0.0;4;2;1
25.0;50000.0;Alugada;6.0;Pessoal;B;11875.0;10.65;0.0;0.0;2;2;23
23.0;57000.0;Própria;7.0;Educativo;B;4200.0;10.51;0.0;0.0;3;2;8
29.0;145000.0;Hipotecada;0.0;Empreendimento;D;14000.0;16.77;0.0;1.0;5;3;27
31.0;72000.0;Hipotecada;14.0;Médico;A;7000.0;5.42;0.0;0.0;8;4;13
36.0;70000.0;Hipotecada;11.0;Pessoal;C;25000.0;12.84;0.0;1.0;16;5;49
24.0;43000.0;Alugada;4.0;Médico;B;10000.0;9.63;0.0;0.0;3;2;19
22.0;24996.0;Alugada;4.0;Pessoal;B;12000.0;9.63;1.0;0.0;3;2;23
29.0;75000.0;Hipotecada;11.0;Médico;A;10000.0;5.42;0.0;0.0;9;3;19
21.0;39000.0;Hipotecada;5.0;Educativo;A;1000.0;7.49;0.0;0.0;3;2;1
25.0;102000.0;Hipotecada;4.0;Médico;B;25000.0;10.99;1.0;0.0;2;2;49
45.0;140000.0;Hipotecada;9.0;Melhora do lar;A;7500.0;6.62;0.0;0.0;15;6;14
28.0;60000.0;Alugada;4.0;Educativo;A;10000.0;6.54;0.0;0.0;6;3;19
38.0;72000.0;Hipotecada;8.0;Melhora do lar;D;5000.0;12.92;0.0;0.0;16;5;9
24.0;76000.0;Hipotecada;7.0;Empreendimento;A;13500.0;8.49;0.0;0.0;4;2;26
24.0;51024.0;Hipotecada;8.0;Melhora do lar;C;2000.0;12.99;0.0;1.0;4;2;3
23.0;47800.0;Hipotecada;4.0;Médico;B;18000.0;10.95;1.0;0.0;3;2;35
33.0;65004.0;Hipotecada;14.0;Empreendimento;B;8000.0;11.49;0.0;0.0;9;4;15
38.0;38000.0;Alugada;3.0;Pagamento de débitos;A;10000.0;8.59;0.0;0.0;15;5;19
23.0;40000.0;Alugada;2.0;Pessoal;C;3000.0;13.49;0.0;0.0;3;2;5
21.0;60000.0;Hipotecada;5.0;Pagamento de débitos;C;5000.0;13.48;0.0;0.0;2;2;9
27.0;25000.0;Hipotecada;4.0;Pessoal;D;4750.0;14.83;0.0;0.0;9;3;9
28.0;24000.0;Alugada;0.0;Pagamento de débitos;B;5000.0;11.86;0.0;0.0;5;3;9
24.0;47500.0;Hipotecada;3.0;Médico;B;13750.0;11.71;0.0;0.0;4;2;27
25.0;67675.0;Hipotecada;9.0;Médico;C;3000.0;14.35;0.0;0.0;3;2;5
29.0;37500.0;Alugada;7.0;Pessoal;B;3300.0;10.37;0.0;0.0;5;3;6
22.0;70000.0;Hipotecada;6.0;Pagamento de débitos;A;10000.0;7.29;0.0;0.0;3;2;19
24.0;78600.0;Alugada;0.0;Melhora do lar;D;12800.0;14.11;1.0;1.0;4;2;25
31.0;32400.0;Hipotecada;14.0;Melhora do lar;A;3000.0;7.49;0.0;0.0;10;4;5
23.0;110000.0;Hipotecada;8.0;Empreendimento;C;7500.0;13.72;0.0;0.0;4;2;14
42.0;300000.0;Hipotecada;0.0;Pessoal;D;10000.0;17.27;0.0;1.0;14;6;19
21.0;84400.0;Própria;2.0;Empreendimento;A;12000.0;8.94;0.0;0.0;3;2;23
52.0;59004.0;Alugada;4.0;Pagamento de débitos;D;20000.0;15.58;1.0;0.0;22;8;39
23.0;60000.0;Alugada;3.0;Educativo;B;8000.0;10.25;0.0;0.0;3;2;15
23.0;54586.0;Alugada;5.0;Educativo;B;19000.0;11.14;1.0;0.0;4;2;37
23.0;100000.0;Alugada;1.0;Educativo;C;12000.0;13.57;0.0;1.0;2;2;23
33.0;400000.0;Hipotecada;9.0;Médico;A;15000.0;6.03;0.0;0.0;6;4;29
31.0;100000.0;Hipotecada;0.0;Melhora do lar;A;15000.0;9.63;0.0;0.0;5;4;29
26.0;63000.0;Hipotecada;3.0;Melhora do lar;C;3800.0;12.04;0.0;1.0;4;3;7
32.0;67150.0;Hipotecada;4.0;Médico;D;13000.0;16.0;1.0;1.0;6;4;25
25.0;40000.0;Hipotecada;7.0;Educativo;A;2100.0;6.03;0.0;0.0;2;2;4
31.0;55200.0;Alugada;5.0;Médico;D;15000.0;15.58;1.0;1.0;10;4;29
28.0;15600.0;Alugada;0.0;Educativo;B;1200.0;12.53;0.0;0.0;8;3;2
26.0;99100.0;Alugada;2.0;Pessoal;A;7000.0;7.49;0.0;0.0;3;3;13
23.0;41000.0;Alugada;6.0;Pessoal;C;4500.0;12.99;0.0;0.0;4;2;8
40.0;51000.0;Alugada;1.0;Médico;B;4000.0;11.12;0.0;0.0;14;5;7
24.0;80000.0;Hipotecada;8.0;Educativo;B;18000.0;10.62;0.0;0.0;2;2;35
24.0;38400.0;Alugada;4.0;Pagamento de débitos;A;4000.0;7.29;0.0;0.0;3;2;7
33.0;100000.0;Hipotecada;0.0;Pagamento de débitos;B;24000.0;10.25;0.0;0.0;6;4;47
23.0;85000.0;Alugada;5.0;Pessoal;A;13600.0;6.03;0.0;0.0;3;2;27
24.0;50000.0;Hipotecada;7.0;Empreendimento;B;7500.0;11.71;0.0;0.0;4;2;14
29.0;67704.0;Alugada;3.0;Pessoal;B;15000.0;11.86;0.0;0.0;8;3;29
24.0;100000.0;Alugada;6.0;Pagamento de débitos;A;11000.0;5.42;0.0;0.0;4;2;21
26.0;50000.0;Alugada;10.0;Empreendimento;A;1300.0;6.99;0.0;0.0;3;3;2
27.0;64000.0;Alugada;2.0;Empreendimento;C;5000.0;12.99;0.0;1.0;8;3;9
28.0;36400.0;Própria;3.0;Pessoal;B;7000.0;11.11;0.0;0.0;9;3;13
29.0;76000.0;Hipotecada;9.0;Pagamento de débitos;D;4400.0;16.29;1.0;1.0;10;3;8
29.0;60000.0;Alugada;0.0;Educativo;C;6000.0;15.96;0.0;1.0;7;3;11
31.0;30000.0;Alugada;4.0;Melhora do lar;B;5000.0;9.91;1.0;0.0;5;4;9
41.0;57000.0;Alugada;3.0;Pessoal;D;1200.0;15.99;0.0;1.0;12;6;2
23.0;96060.0;Hipotecada;7.0;Médico;A;10000.0;5.42;0.0;0.0;2;2;19
24.0;56000.0;Alugada;8.0;Empreendimento;D;21250.0;15.95;1.0;1.0;3;2;42
25.0;21000.0;Alugada;2.0;Educativo;E;4500.0;16.45;1.0;1.0;4;2;8
22.0;99000.0;Hipotecada;6.0;Empreendimento;A;18000.0;8.9;0.0;0.0;3;2;35
25.0;225000.0;Hipotecada;0.0;Empreendimento;F;25000.0;18.67;0.0;0.0;2;2;49
36.0;72000.0;Hipotecada;14.0;Empreendimento;A;2500.0;7.51;0.0;0.0;14;5;4
22.0;50000.0;Hipotecada;0.0;Pagamento de débitos;A;12800.0;5.79;0.0;0.0;2;2;25
29.0;67000.0;Hipotecada;13.0;Empreendimento;A;10000.0;7.14;0.0;0.0;8;3;19
24.0;45000.0;Alugada;0.0;Médico;A;3600.0;6.91;0.0;0.0;4;2;7
23.0;75000.0;Hipotecada;7.0;Educativo;A;16100.0;7.9;0.0;0.0;3;2;32
33.0;59000.0;Hipotecada;6.0;Melhora do lar;B;5500.0;9.91;0.0;0.0;9;4;10
28.0;113300.0;Hipotecada;12.0;Empreendimento;C;18000.0;12.99;0.0;0.0;6;3;35
31.0;40000.0;Hipotecada;4.0;Médico;C;12650.0;11.34;0.0;0.0;9;4;25
31.0;20000.0;Própria;3.0;Pessoal;B;5000.0;11.83;0.0;0.0;7;4;9
25.0;120000.0;Hipotecada;9.0;Melhora do lar;B;28000.0;10.74;0.0;0.0;3;2;55
26.0;48000.0;Alugada;5.0;Empreendimento;F;25000.0;18.43;1.0;0.0;2;3;49
25.0;59004.0;Alugada;1.0;Pessoal;D;20000.0;14.84;1.0;1.0;2;2;39
43.0;780000.0;Hipotecada;2.0;Melhora do lar;A;1000.0;8.94;0.0;0.0;11;6;1
21.0;60000.0;Alugada;3.0;Educativo;B;10000.0;12.18;0.0;0.0;2;2;19
29.0;52000.0;Alugada;2.0;Educativo;A;12000.0;7.9;0.0;0.0;7;3;23
28.0;73200.0;Alugada;2.0;Pessoal;A;12000.0;8.9;0.0;0.0;10;3;23
29.0;120000.0;Própria;11.0;Pessoal;D;5000.0;14.09;0.0;1.0;5;3;9
31.0;102000.0;Alugada;11.0;Médico;B;18000.0;10.0;0.0;0.0;10;4;35
26.0;84000.0;Hipotecada;10.0;Pessoal;B;4925.0;9.96;0.0;0.0;3;3;9
34.0;80300.0;Hipotecada;3.0;Melhora do lar;C;15000.0;12.73;0.0;1.0;10;4;29
25.0;12000.0;Alugada;0.0;Educativo;B;1000.0;10.65;0.0;0.0;2;2;1
30.0;50000.0;Hipotecada;14.0;Empreendimento;A;5000.0;7.88;0.0;0.0;5;3;9
61.0;85000.0;Hipotecada;11.0;Pessoal;B;9000.0;9.99;0.0;0.0;22;10;17
25.0;38400.0;Alugada;9.0;Empreendimento;B;8500.0;10.99;0.0;0.0;2;2;16
31.0;77940.0;Hipotecada;3.0;Empreendimento;B;16250.0;10.99;0.0;0.0;9;4;32
26.0;59500.0;Hipotecada;8.0;Pessoal;B;5100.0;10.37;0.0;0.0;4;3;10
32.0;46000.0;Alugada;0.0;Melhora do lar;D;3000.0;16.29;1.0;0.0;9;4;5
32.0;47004.0;Alugada;7.0;Melhora do lar;C;12000.0;12.53;1.0;0.0;5;4;23
22.0;75000.0;Alugada;4.0;Pessoal;B;12000.0;11.49;0.0;0.0;3;2;23
26.0;72054.0;Alugada;9.0;Melhora do lar;A;3000.0;7.29;0.0;0.0;2;3;5
23.0;99996.0;Hipotecada;7.0;Educativo;A;20000.0;7.49;0.0;0.0;3;2;39
25.0;69000.0;Hipotecada;4.0;Educativo;C;4500.0;14.65;1.0;1.0;2;2;8
27.0;36600.0;Hipotecada;6.0;Empreendimento;A;5000.0;5.42;0.0;0.0;5;3;9
23.0;55000.0;Alugada;2.0;Pessoal;B;8000.0;10.65;0.0;0.0;2;2;15
27.0;61584.0;Alugada;3.0;Empreendimento;D;15000.0;15.21;0.0;0.0;6;3;29
27.0;150000.0;Hipotecada;3.0;Educativo;E;8000.0;17.19;0.0;1.0;5;3;15
44.0;88000.0;Alugada;8.0;Educativo;B;8000.0;10.38;0.0;0.0;11;6;15
23.0;43600.0;Hipotecada;4.0;Educativo;A;7000.0;7.49;0.0;0.0;4;2;13
22.0;33000.0;Alugada;1.0;Educativo;B;5000.0;10.25;0.0;0.0;2;2;9
23.0;60000.0;Alugada;8.0;Empreendimento;B;3600.0;9.99;0.0;0.0;3;2;7
23.0;60000.0;Alugada;2.0;Pagamento de débitos;B;12000.0;12.69;0.0;0.0;2;2;23
35.0;15000.0;Própria;3.0;Médico;A;3700.0;9.32;1.0;0.0;5;4;7
24.0;43200.0;Hipotecada;4.0;Empreendimento;A;6350.0;7.49;0.0;0.0;4;2;12
38.0;18720.0;Alugada;0.0;Pagamento de débitos;D;6000.0;15.99;1.0;1.0;12;5;11
31.0;100000.0;Hipotecada;5.0;Pagamento de débitos;A;11000.0;7.51;0.0;0.0;5;4;21
27.0;50000.0;Alugada;5.0;Empreendimento;B;12000.0;10.37;0.0;0.0;9;3;23
22.0;40000.0;Alugada;2.0;Educativo;A;10000.0;7.14;0.0;0.0;4;2;19
29.0;90000.0;Hipotecada;8.0;Pagamento de débitos;A;14000.0;7.9;0.0;0.0;9;3;27
25.0;47052.0;Alugada;5.0;Empreendimento;B;21250.0;10.99;1.0;0.0;2;2;42
28.0;38688.0;Alugada;2.0;Educativo;C;3000.0;12.73;0.0;1.0;8;3;5
26.0;64999.0;Própria;5.0;Empreendimento;C;10000.0;13.98;0.0;1.0;3;3;19
21.0;57000.0;Própria;5.0;Empreendimento;B;8000.0;10.65;0.0;0.0;2;2;15
27.0;27500.0;Alugada;0.0;Educativo;B;3000.0;10.99;0.0;0.0;5;3;5
23.0;75000.0;Hipotecada;0.0;Educativo;A;6000.0;8.0;0.0;0.0;2;2;11
24.0;10800.0;Hipotecada;8.0;Educativo;B;1750.0;10.99;1.0;0.0;2;2;3
25.0;80000.0;Alugada;2.0;Pagamento de débitos;B;4000.0;10.59;0.0;0.0;3;2;7
35.0;36000.0;Alugada;1.0;Empreendimento;C;5600.0;13.06;0.0;0.0;7;4;11
38.0;160000.0;Hipotecada;12.0;Educativo;A;14000.0;6.62;0.0;0.0;16;5;27
23.0;95000.0;Alugada;7.0;Pagamento de débitos;D;6000.0;16.49;1.0;0.0;4;2;11
25.0;60000.0;Própria;9.0;Melhora do lar;A;5000.0;7.29;0.0;0.0;4;2;9
26.0;148000.0;Alugada;1.0;Educativo;F;24000.0;18.3;1.0;0.0;2;3;47
24.0;39862.0;Alugada;8.0;Médico;C;5000.0;14.22;0.0;0.0;4;2;9
22.0;29000.0;Alugada;6.0;Melhora do lar;A;4200.0;6.62;1.0;0.0;2;2;8
31.0;152000.0;Hipotecada;15.0;Pessoal;A;15000.0;8.49;0.0;0.0;7;4;29
21.0;65004.0;Alugada;5.0;Pessoal;A;6000.0;7.68;0.0;0.0;3;2;11
26.0;73000.0;Hipotecada;3.0;Melhora do lar;C;14400.0;13.8;1.0;1.0;3;3;28
26.0;60000.0;Hipotecada;10.0;Educativo;A;7875.0;7.66;0.0;0.0;3;3;15
24.0;48000.0;Própria;2.0;Educativo;C;15000.0;13.06;0.0;0.0;4;2;29
23.0;61200.0;Alugada;4.0;Médico;B;20000.0;11.14;1.0;0.0;2;2;39
27.0;27000.0;Própria;0.0;Educativo;G;11500.0;20.11;1.0;0.0;9;3;22
29.0;153000.0;Própria;13.0;Empreendimento;B;3000.0;10.74;0.0;0.0;8;3;5
23.0;95000.0;Hipotecada;1.0;Educativo;C;19800.0;13.22;1.0;1.0;4;2;39
27.0;24960.0;Alugada;3.0;Pagamento de débitos;B;10750.0;10.25;1.0;0.0;10;3;21
27.0;75600.0;Hipotecada;4.0;Pessoal;C;25000.0;13.61;0.0;0.0;6;3;49
26.0;39990.0;Hipotecada;3.0;Melhora do lar;C;2400.0;14.27;0.0;1.0;2;3;4
23.0;32000.0;Própria;4.0;Pessoal;C;7500.0;12.98;0.0;0.0;3;2;14
23.0;36000.0;Alugada;3.0;Educativo;B;7000.0;9.99;0.0;0.0;3;2;13
27.0;44000.0;Hipotecada;0.0;Educativo;C;6000.0;13.23;1.0;1.0;8;3;11
34.0;53000.0;Hipotecada;7.0;Pagamento de débitos;A;3100.0;7.9;0.0;0.0;6;4;6
28.0;100000.0;Hipotecada;6.0;Médico;B;24000.0;11.48;0.0;0.0;9;3;47
38.0;22000.0;Alugada;2.0;Empreendimento;C;4000.0;12.68;0.0;1.0;12;5;7
36.0;27600.0;Alugada;0.0;Educativo;B;1000.0;11.49;0.0;0.0;12;5;1
25.0;125000.0;Hipotecada;1.0;Médico;C;30000.0;14.27;0.0;0.0;4;2;59
23.0;42000.0;Alugada;7.0;Educativo;B;6025.0;9.63;0.0;0.0;4;2;12
22.0;36000.0;Hipotecada;6.0;Médico;B;1000.0;9.99;0.0;0.0;3;2;1
28.0;25000.0;Alugada;0.0;Melhora do lar;F;5175.0;18.43;1.0;1.0;6;3;10
29.0;60500.0;Alugada;13.0;Empreendimento;C;3000.0;13.61;0.0;0.0;9;3;5
26.0;22406.0;Alugada;5.0;Pessoal;A;2500.0;6.76;1.0;0.0;4;3;4
23.0;30000.0;Alugada;7.0;Pagamento de débitos;B;3000.0;12.69;1.0;0.0;4;2;5
30.0;90000.0;Hipotecada;0.0;Melhora do lar;C;5000.0;12.87;0.0;1.0;10;3;9
26.0;51996.0;Hipotecada;2.0;Pagamento de débitos;E;6500.0;15.68;1.0;0.0;3;3;12
25.0;42900.0;Alugada;9.0;Médico;A;9000.0;6.76;0.0;0.0;4;2;17
23.0;67000.0;Alugada;0.0;Médico;B;20000.0;11.11;0.0;0.0;2;2;39
24.0;45204.0;Alugada;0.0;Médico;A;12000.0;7.51;0.0;0.0;4;2;23
24.0;62500.0;Alugada;5.0;Educativo;A;11500.0;5.79;0.0;0.0;3;2;22
24.0;79992.0;Alugada;0.0;Pagamento de débitos;B;7500.0;10.71;0.0;0.0;4;2;14
31.0;158000.0;Alugada;8.0;Pagamento de débitos;D;10200.0;15.99;1.0;1.0;7;4;20
26.0;80000.0;Hipotecada;10.0;Pessoal;B;25000.0;10.62;0.0;0.0;4;3;49
22.0;60000.0;Hipotecada;6.0;Pagamento de débitos;A;10000.0;8.9;0.0;0.0;3;2;19
24.0;66000.0;Alugada;2.0;Empreendimento;B;7000.0;11.49;0.0;0.0;3;2;13
26.0;27138.0;Hipotecada;10.0;Pagamento de débitos;B;2750.0;9.63;0.0;0.0;2;3;5
28.0;93600.0;Alugada;1.0;Melhora do lar;B;5600.0;11.99;0.0;0.0;10;3;11
26.0;71046.0;Hipotecada;10.0;Pagamento de débitos;B;6500.0;10.99;0.0;0.0;4;3;12
35.0;48000.0;Alugada;7.0;Médico;A;8250.0;7.51;0.0;0.0;6;4;16
22.0;42500.0;Alugada;0.0;Médico;E;1500.0;17.19;1.0;1.0;4;2;2
26.0;74999.0;Alugada;4.0;Melhora do lar;D;16000.0;17.27;0.0;1.0;4;3;31
25.0;105000.0;Hipotecada;3.0;Empreendimento;A;16000.0;8.49;0.0;0.0;4;2;31
21.0;30000.0;Alugada;5.0;Educativo;A;8400.0;6.03;0.0;0.0;3;2;16
23.0;75000.0;Hipotecada;7.0;Empreendimento;B;5400.0;12.69;0.0;0.0;2;2;10
31.0;118320.0;Alugada;1.0;Melhora do lar;B;24250.0;12.53;0.0;0.0;5;4;48
29.0;200000.0;Hipotecada;4.0;Médico;A;12000.0;7.88;0.0;0.0;7;3;23
27.0;17000.0;Alugada;6.0;Pessoal;B;2875.0;11.71;1.0;0.0;10;3;5
23.0;24000.0;Alugada;0.0;Educativo;C;2000.0;12.61;0.0;1.0;3;2;3
27.0;49000.0;Hipotecada;11.0;Médico;B;8500.0;10.59;0.0;0.0;6;3;16
26.0;90000.0;Alugada;8.0;Pessoal;C;7000.0;13.49;0.0;1.0;3;3;13
29.0;32108.0;Alugada;4.0;-;;15000.0;7.88;1.0;0.0;5;3;29
35.0;88020.0;Alugada;6.0;Pessoal;D;6000.0;15.37;0.0;1.0;8;4;11
22.0;65000.0;Alugada;6.0;Pessoal;A;16000.0;7.88;0.0;0.0;3;2;31
33.0;78000.0;Alugada;7.0;Melhora do lar;C;10000.0;13.06;1.0;1.0;9;4;19
24.0;71040.0;Alugada;1.0;Empreendimento;A;13100.0;7.49;0.0;0.0;2;2;26
24.0;125000.0;Alugada;8.0;Empreendimento;B;16800.0;12.42;0.0;0.0;4;2;33
25.0;42000.0;Alugada;2.0;Educativo;A;12000.0;7.9;0.0;0.0;4;2;23
30.0;144997.0;Hipotecada;14.0;Pessoal;B;25000.0;11.83;0.0;0.0;5;3;49
23.0;88000.0;Hipotecada;7.0;Médico;A;10000.0;8.94;0.0;0.0;2;2;19
21.0;45000.0;Alugada;4.0;Médico;A;4000.0;7.9;0.0;0.0;3;2;7
32.0;65000.0;Alugada;3.0;Melhora do lar;A;3625.0;6.03;0.0;0.0;8;4;7
26.0;88500.0;Hipotecada;10.0;Educativo;A;10000.0;8.59;0.0;0.0;4;3;19
24.0;110000.0;Hipotecada;7.0;Pagamento de débitos;A;12000.0;8.94;0.0;0.0;2;2;23
28.0;240000.0;Alugada;2.0;Médico;B;6000.0;11.46;0.0;0.0;6;3;11
22.0;20000.0;Alugada;1.0;Pagamento de débitos;B;6500.0;10.99;1.0;0.0;2;2;12
24.0;30000.0;Alugada;2.0;Pagamento de débitos;A;14000.0;7.9;1.0;0.0;2;2;27
29.0;47000.0;Alugada;2.0;Educativo;B;7000.0;10.36;0.0;0.0;7;3;13
23.0;32000.0;Hipotecada;4.0;Educativo;A;2000.0;5.99;0.0;0.0;2;2;3
29.0;88000.0;Alugada;6.0;Educativo;C;12000.0;12.53;0.0;0.0;5;3;23
26.0;48000.0;Alugada;7.0;Pessoal;A;9000.0;8.94;0.0;0.0;3;3;17
26.0;88596.0;Alugada;3.0;Pessoal;B;24000.0;11.58;0.0;0.0;3;3;47
22.0;80000.0;Alugada;3.0;Pessoal;D;33950.0;14.54;1.0;1.0;4;2;67
26.0;61200.0;Alugada;9.0;Pessoal;B;3200.0;9.91;0.0;0.0;2;3;6
35.0;29400.0;Alugada;0.0;Educativo;B;6150.0;12.21;0.0;0.0;10;4;12
34.0;62000.0;Hipotecada;18.0;Empreendimento;B;28000.0;11.71;0.0;0.0;7;4;55
55.0;50000.0;Alugada;2.0;Melhora do lar;A;20000.0;7.51;1.0;0.0;30;8;39
24.0;50000.0;Alugada;1.0;Médico;A;6000.0;5.79;0.0;0.0;4;2;11
32.0;60000.0;Alugada;6.0;Médico;C;6000.0;13.98;0.0;0.0;5;4;11
24.0;66996.0;Hipotecada;5.0;Educativo;B;10000.0;9.62;0.0;0.0;2;2;19
25.0;26000.0;Alugada;4.0;Médico;C;8000.0;12.87;1.0;1.0;3;2;15
33.0;38400.0;Hipotecada;0.0;Educativo;B;10000.0;9.91;0.0;0.0;8;4;19
40.0;133000.0;Alugada;2.0;Educativo;D;35000.0;14.54;1.0;1.0;17;5;69
22.0;11760.0;Alugada;0.0;Empreendimento;C;1000.0;13.98;0.0;0.0;4;2;1
29.0;74000.0;Hipotecada;0.0;Melhora do lar;A;9000.0;7.51;0.0;0.0;10;3;17
25.0;48996.0;Alugada;9.0;Educativo;A;11000.0;7.88;0.0;0.0;2;2;21
25.0;39000.0;Alugada;1.0;Melhora do lar;E;16050.0;17.14;1.0;1.0;3;2;32
32.0;60000.0;Hipotecada;11.0;Pessoal;C;7500.0;11.03;0.0;1.0;10;4;14
25.0;55000.0;Hipotecada;2.0;Pagamento de débitos;A;8000.0;6.03;0.0;0.0;4;2;15
38.0;35000.0;Própria;5.0;Educativo;D;1800.0;16.49;0.0;1.0;12;5;3
33.0;50000.0;Hipotecada;7.0;Melhora do lar;B;10000.0;9.99;0.0;0.0;7;4;19
25.0;32000.0;Alugada;3.0;Empreendimento;C;10000.0;12.99;1.0;1.0;2;2;19
25.0;52500.0;Hipotecada;9.0;Melhora do lar;A;7000.0;5.79;0.0;0.0;4;2;13
27.0;84000.0;Alugada;0.0;Médico;B;16000.0;12.21;0.0;0.0;10;3;31
28.0;60000.0;Hipotecada;12.0;Pagamento de débitos;C;16800.0;12.61;0.0;1.0;7;3;33
42.0;32000.0;Alugada;5.0;Pagamento de débitos;B;10000.0;11.71;1.0;0.0;14;6;19
22.0;38000.0;Alugada;2.0;Educativo;C;1500.0;13.22;0.0;1.0;2;2;2
24.0;74700.0;Hipotecada;7.0;Educativo;A;12000.0;5.42;0.0;0.0;4;2;23
33.0;36000.0;Alugada;5.0;Educativo;B;12200.0;9.99;1.0;0.0;6;4;24
22.0;130000.0;Hipotecada;2.0;Educativo;B;13000.0;11.14;0.0;0.0;3;2;25
24.0;50000.0;Hipotecada;8.0;Médico;A;12000.0;5.42;0.0;0.0;2;2;23
23.0;27600.0;Alugada;2.0;Pagamento de débitos;C;2000.0;13.99;1.0;0.0;3;2;3
37.0;54996.0;Hipotecada;5.0;Melhora do lar;A;7000.0;6.92;0.0;0.0;13;5;13
25.0;60000.0;-;6.0;Médico;;4400.0;6.76;0.0;0.0;4;2;8
30.0;55000.0;Hipotecada;1.0;Pessoal;B;6500.0;10.99;0.0;0.0;9;3;12
23.0;140000.0;Alugada;7.0;Empreendimento;A;9000.0;7.14;0.0;0.0;2;2;17
25.0;13440.0;Alugada;3.0;Médico;A;6000.0;7.49;1.0;0.0;3;2;11
23.0;20664.0;Alugada;4.0;Educativo;C;4550.0;13.72;0.0;1.0;3;2;9
24.0;36000.0;Alugada;4.0;Empreendimento;B;18200.0;8.88;1.0;0.0;4;2;36
25.0;45000.0;Hipotecada;1.0;Empreendimento;A;3000.0;6.62;0.0;0.0;2;2;5
24.0;35400.0;Alugada;8.0;Empreendimento;A;12000.0;7.29;1.0;0.0;4;2;23
32.0;50880.0;Alugada;6.0;Pessoal;F;15000.0;20.25;0.0;1.0;5;4;29
26.0;120000.0;Hipotecada;10.0;Médico;A;10000.0;5.42;0.0;0.0;2;3;19
27.0;49000.0;Alugada;3.0;Pessoal;D;3000.0;14.96;0.0;1.0;8;3;5
34.0;67392.0;Hipotecada;0.0;Pagamento de débitos;C;15000.0;13.85;1.0;1.0;8;4;29
